암호화요양기호,요양기관명_x,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,개설일자,좌표(x),좌표(y),동,요양기관명_y,주차가능대수,주차비용부담여부,주차_기타안내사항,응급실 주간운영여부,응급실 야간운영여부,접수시간_평일,접수시간_토요일,오시는 길,휴진 안내,점심시간,비고,일요일 진료시작시간,일요일 진료종료시간,월요일 진료시작시간,월요일 진료종료시간,화요일 진료시작시간,화요일 진료종료시간,수요일 진료시작시간,수요일 진료종료시간,목요일 진료시작시간,목요일 진료종료시간,금요일 진료시작시간,금요일 진료종료시간,토요일 진료시작시간,토요일 진료종료시간,count_null
JDQ4MTYyMiM1MSMkMSMkNCMkMDMkMzgxMzUxIzIxIyQxIyQxIyQ4OSQyNjEwMDIjNDEjJDEjJDgjJDgz,하나약국,81,약국,320000,강원,320100,강릉시,,25505,강원도 강릉시 강릉대로 163 (교동),2019-06-18,128.8885954,37.7574957,교동,하나약국,3,N,,N,N,09;00~20;00,09;00~21;00,정동진농협지소 하나로마트 에스케이주유소 정동진농협지나서 다리건너 우회전 에스케이주유소앞 30미터,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 12;00~13;00
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 12;00~13;00
토요일 : 없음",:9:00,:21:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,21:00:59,0
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxOTYxIzIxIyQxIyQ5IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,푸른나무아래약국,81,약국,310000,경기,311903,고양일산동구,장항동,10364,"경기도 고양시 일산동구 무궁화로 39 110호 (장항동, 삼라마이다스3차)",2010-08-04,126.7685053,37.6634852,장항동,푸른나무아래약국,10,N,건물 뒤편 주장 입구,N,N,,,일산소방서 호수공원 방향 30m,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,9:30:00,22:00:59,9:30:00,22:00:59,9:30:00,22:00:59,9:30:00,22:00:59,9:30:00,22:00:59,9:30:00,22:00:59,2
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMzUxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNTEjJDEjJDIjJDgz,독일약국,81,약국,250000,대전,250004,대전동구,중동,34628,대전광역시 동구 대전로 787 1층 (중동),2015-07-01,127.4331492,36.3298247,중동,독일약국,100,Y,일요일. 공휴일 무료,N,N,,,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz,감초당약국,81,약국,240000,광주,240004,광주광산구,,62428,광주광역시 광산구 상무대로 262-1 (송정동),1988-02-01,126.7952759,35.1417914,송정동,감초당약국,,,,N,N,,,영광통 사거리 한국통신옆  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:9:00,:21:59,9:00:00,21:30:59,9:00:00,21:30:59,9:00:00,21:30:59,9:00:00,21:30:59,9:00:00,21:30:59,9:00:00,21:30:59,0
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQwMyQ0NjEwMDIjNzEjJDEjJDgjJDgz,삼일약국,81,약국,310000,경기,310100,광명시,,14219,경기도 광명시 광명로 942 1층 102호 (광명동),1989-05-11,126.8562274,37.4826208,광명동,삼일약국,,,,N,N,10시00분,10시00분,광명2동 우체국 우체국정문에서우측 100m,"[휴진 안내]
일요일 : 휴무
공휴일 : 선택적으로 휴무","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 휴무
공휴일 : 선택적으로 휴무

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,10:00:00,22:30:59,10:00:00,22:30:59,10:00:00,22:30:59,10:00:00,22:30:59,10:00:00,22:30:59,10:00:00,20:00:59,2
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkMzgxNzAyIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDQjJDgz,삼성약국,81,약국,380000,경남,380018,함양군,함양읍,50037,경상남도 함양군 함양읍 고운로 77-4 (함양읍),2009-08-03,127.7297239,35.5212711,함양읍,삼성약국,,,,N,N,,,"함양읍파출소옆, 중앙레스파 건너편  ","[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,8:00:00,19:00:59,8:00:00,19:00:59,8:00:00,19:00:59,8:00:00,19:00:59,8:00:00,19:00:59,8:00:00,13:30:59,2
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxNzAyIzExIyQyIyQ3IyQwMCQyNjE0ODEjNDEjJDEjJDgjJDgz,드림약국,81,약국,110000,서울,110010,서대문구,남가좌동,3712,서울특별시 서대문구 수색로 26 (남가좌동),2006-10-20,126.9157663,37.569167,남가좌동,드림약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 1~2시
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 1~2시
토요일 : 없음",:n:00,:n:59,9:00:00,18:30:59,9:00:00,18:30:59,9:00:00,18:30:59,9:00:00,18:30:59,9:00:00,18:30:59,:n:00,:n:59,4
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,매일약국,81,약국,110000,서울,110024,강북구,,1055,서울특별시 강북구 도봉로 389 1층 (수유동),2007-06-25,127.0291307,37.6418436,수유동,매일약국,,,,N,N,,,수유3동 우체국 수유역 방향으로 직진 100m,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,17:00:59,2
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNjEjJDEjJDgjJDgz,한마음약국,81,약국,210000,부산,210001,부산남구,문현동,48419,부산광역시 남구 고동골로 16 (문현동),2003-04-10,129.0713249,35.1383417,문현동,한마음약국,5,Y,,N,N,,,윤현기정형외과 1층  ,"[휴진 안내]
일요일 : 휴무
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 휴무
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,마리약국,81,약국,110000,서울,110009,마포구,공덕동,4146,"서울특별시 마포구 마포대로 109 2층 (공덕동, 롯데시티호텔)",2010-05-07,126.9512549,37.5450054,공덕동,마리약국,100,Y,,N,N,,,롯데시티호텔 2층  공덕오거리,"[휴진 안내]
일요일 : 휴무
공휴일 : 휴무","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 휴무
공휴일 : 휴무

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,20:00:59,9:00:00,15:00:59,2
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxNzAyIzMxIyQxIyQzIyQ5MiQzNjE0ODEjNTEjJDEjJDYjJDgz,문산보룡약국,81,약국,310000,경기,312200,파주시,,10823,경기도 파주시 문산읍 문향로 49 (),2019-01-14,127.1311882,37.5878463,,문산보룡약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 장날 제외한 일요일 휴무
공휴일 : 일부 공유일 제외한 모든 공휴일 휴무","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 장날 제외한 일요일 휴무
공휴일 : 일부 공유일 제외한 모든 공휴일 휴무

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,7:30:00,19:30:59,7:30:00,19:30:59,7:30:00,19:30:59,7:30:00,19:30:59,7:30:00,19:30:59,7:30:00,15:30:59,2
